Overs,Maidens,Runs,Wickets,Economy,Average,Strike Rate,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Win/Loss,Balls Whole,Balls Decimal,Total Balls Bowled,0s,1s,2s,3s,Control,Exp Control,Pitch,Pitch Index,Weather,Full Impact,Discrete Impact,Impact
8.5,0,51,0,5.77,,,2,5,v India,Visakhapatnam,Away,20-Oct-10,Loss,8,5,53,28,16,1,0,0.764150943,2.147170531,Dead/Flat,2,Sunny,2.147170531,2,0
9,0,27,4,3,6.75,13.5,6,4,v Sri Lanka,Brisbane,Home,07-Nov-10,Win,9,0,54,38,12,3,1,0.902777778,2.46644484,Dead/Flat,2,Clear,6.46644484,6,1
6,0,33,2,5.5,16.5,18,2,5,v India,Melbourne,Home,05-Feb-12,Win,6,0,36,18,11,5,1,0.805555556,2.237939453,Green,1,Overcast,4.237939453,4,1
9.5,0,50,2,5.08,25,29.5,3,5,v Sri Lanka,Perth,Home,10-Feb-12,Win,9,5,59,34,16,4,1,0.81779661,2.265502549,Green,1,Clear,4.265502549,4,1
8,0,49,0,6.12,,,2,5,v India,Adelaide,Home,12-Feb-12,Loss,8,0,48,21,19,2,1,0.760416667,2.139167355,Dead/Flat,2,Clear,2.139167355,2,0
4,0,32,0,8,,,3,5,v Sri Lanka,Sydney,Home,17-Feb-12,Loss,4,0,24,5,15,2,1,0.729166667,2.073352094,Dead/Flat,2,Overcast,2.073352094,2,0
8,0,36,1,4.5,36,48,2,5,v India,Brisbane,Home,19-Feb-12,Win,8,0,48,30,14,3,0,0.875,2.398875294,Dead/Flat,2,Clear,3.398875294,3,1
9,1,47,4,5.22,11.75,13.5,,1,v Afghanistan,Sharjah,Neutral,25-Aug-12,Win,9,0,54,36,9,1,0,0.800925926,2.227602569,Dusty/Dry,1.5,Sunny,6.227602569,6,1
10,2,42,5,4.2,8.4,12,6,4,v Pakistan,Sharjah,Away,28-Aug-12,Win,10,0,60,40,11,3,0,0.829166667,2.291408437,Dusty/Dry,1.5,Sunny,7.291408437,7,1
7.5,0,43,0,5.48,,,6,4,v Pakistan,Abu Dhabi,Away,31-Aug-12,Loss,7,5,47,26,15,2,0,0.813829787,2.256533502,Dusty/Dry,1.5,Sunny,2.256533502,2,0
10,0,51,4,5.1,12.75,15,6,4,v Pakistan,Sharjah,Away,03-Sep-12,Win,10,0,60,27,24,5,0,0.791666667,2.207071816,Dusty/Dry,1.5,Sunny,6.207071816,6,1
6,0,25,1,4.16,25,36,5,4,v Sri Lanka,Melbourne,Home,11-Jan-13,Win,6,0,36,23,7,4,0,0.840277778,2.317010501,Dead/Flat,2,Clear,3.317010501,3,1
7,0,25,2,3.57,12.5,21,5,4,v Sri Lanka,Brisbane,Home,18-Jan-13,Loss,7,0,42,34,3,2,0,0.886904762,2.427603998,Dead/Flat,2,Clear,4.427603998,4,1
1.2,0,1,0,0.75,,,5,4,v Sri Lanka,Sydney,Home,20-Jan-13,No Result,1,2,8,7,1,0,0,0.96875,2.634649089,Dead/Flat,2,Overcast,2.634649089,2,0
9,0,48,0,5.33,,,5,4,v Sri Lanka,Hobart,Home,23-Jan-13,Win,9,0,54,32,15,4,0,0.837962963,2.311653254,Dusty/Dry,1.5,Clear,2.311653254,2,0
6.5,2,20,5,2.92,4,8.2,8,3,v West Indies,Perth,Home,01-Feb-13,Win,6,5,41,32,4,2,0,0.87804878,2.406200098,Dusty/Dry,1.5,Clear,7.406200098,7,1
8,1,32,5,4,6.4,9.6,8,3,v West Indies,Perth,Home,03-Feb-13,Win,8,0,48,36,7,2,1,0.885416667,2.423994179,Dead/Flat,2,Clear,7.423994179,7,1
7,0,50,1,7.14,50,42,8,3,v West Indies,Canberra,Home,06-Feb-13,Win,7,0,42,23,11,3,0,0.779761905,2.180952929,Dead/Flat,2,Clear,3.180952929,3,1
10,0,75,1,7.5,75,60,2,5,v England,Birmingham,Away,08-Jun-13,Loss,10,0,60,23,19,11,0,0.7125,2.039082598,Dusty/Dry,1.5,Overcast,3.039082598,3,1
6,1,23,2,3.83,11.5,18,10,2,v Zimbabwe,Harare,Away,25-Aug-14,Win,6,0,36,24,7,1,0,0.826388889,2.285052246,Dead/Flat,2,Clear,4.285052246,4,1
8,0,62,2,7.75,31,24,4,4,v South Africa,Harare,Neutral,27-Aug-14,Loss,8,0,48,18,14,4,2,0.645833333,1.907576014,Dead/Flat,2,Clear,3.907576014,3,1
10,3,41,2,4.1,20.5,30,10,2,v Zimbabwe,Harare,Away,31-Aug-14,Loss,10,0,60,40,10,2,2,0.816666667,2.262944105,Dusty/Dry,1.5,Clear,4.262944105,4,1
8,1,47,0,5.87,,,4,4,v South Africa,Harare,Neutral,02-Sep-14,Win,8,0,48,26,13,3,0,0.776041667,2.172854339,Dead/Flat,2,Clear,2.172854339,2,0
4,0,27,0,6.75,,,4,4,v South Africa,Harare,Neutral,06-Sep-14,Loss,4,0,24,9,9,3,1,0.729166667,2.073352094,Dusty/Dry,1.5,Clear,2.073352094,2,0
